zip,City,avg_rent_2024,avg_rent_2025,change_in_rent
92126,San Diego,2724.836968769791,2745.2746074031097,20.437638633318784
92115,San Diego,3320.119411444857,3407.515164383812,87.39575293895496
92130,San Diego,3876.591711422598,3943.0980576842885,66.5063462616904
90066,Los Angeles,3067.6118737298216,3151.985456176988,84.37358244716643
94109,San Francisco,2568.8882876688426,2779.5808139955734,210.69252632673079
92129,San Diego,3269.9715472514304,3289.902383496168,19.930836244737748
90034,Los Angeles,2615.6585327879825,2669.2657415158287,53.60720872784623
90046,Los Angeles,2741.3177240053606,2803.3586908943703,62.040966889009724
92128,San Diego,2859.459016734629,2910.612945930255,51.153929195626006
92104,San Diego,2421.123288749657,2451.1876514168084,30.064362667151272
92122,San Diego,3108.8638247167205,3133.6657201401667,24.80189542344624
92109,San Diego,2952.763537774592,3031.814434382133,79.05089660754129
90025,Los Angeles,3070.4432538967108,3141.330881034531,70.88762713782035
92101,San Diego,2848.6459160065074,2874.9619501435627,26.31603413705534
90024,Los Angeles,3869.086637776623,3994.906446338148,125.81980856152495
92037,San Diego,3585.9366570470606,3697.459794084225,111.52313703716436
90049,Los Angeles,3809.1104456601224,4067.476176203952,258.3657305438296
92103,San Diego,2676.743480658351,2726.8723117755558,50.128831117204754
92116,San Diego,2411.982399248886,2465.70763367124,53.72523442235388
90291,Los Angeles,3403.358200584024,3588.5185535486676,185.1603529646436
90048,Los Angeles,3436.4835720380756,3525.5618905380175,89.07831849994182
